model,accuracy,precision,recall,f1,auc
EegSimpleNN,0.855,0.7978723404255319,0.8823529411764706,0.8379888268156425,0.9405626598465473
EegLSTM,0.5,0.44966442953020136,0.788235294117647,0.5726495726495726,0.5323785166240409
EegCNN,0.9,0.8494623655913979,0.9294117647058824,0.8876404494382022,0.9700255754475704
