model,accuracy,precision,recall,f1,auc
AudioSimpleNN,0.785,0.7105263157894737,0.8901098901098901,0.7902439024390244,0.9186409920354874
AudioLSTM,0.475,0.46111111111111114,0.9120879120879121,0.6125461254612546,0.4685956245589273
AudioCNN,0.88,0.845360824742268,0.9010989010989011,0.8723404255319149,0.9627986692206876
