modality,accuracy,precision,recall,f1,auc
eeg,0.9,0.8494623655913979,0.9294117647058824,0.8876404494382022,0.9700255754475704
audio,0.88,0.845360824742268,0.9010989010989011,0.8723404255319149,0.9627986692206876
text,0.92,0.9479166666666666,0.8921568627450981,0.9191919191919192,0.9746898759503801
fusion,0.795,0.7523809523809524,0.8404255319148937,0.7939698492462312,0.8873946206342834
