model,accuracy,precision,recall,f1,auc
AudioCNN,0.92,0.908256880733945,0.9428571428571428,0.9252336448598131,0.9767418546365915
AudioLSTM,0.93,0.9252336448598131,0.9428571428571428,0.9339622641509434,0.9734335839598997
AudioCRNN,0.905,0.9134615384615384,0.9047619047619048,0.9090909090909091,0.9682205513784461
AudioResNet,0.865,0.8482142857142857,0.9047619047619048,0.8755760368663594,0.9399498746867168
